Artist,manual_love_count,manual_money_count,manual_violence_count,manual_drugs_count,manual_gendered_count,manual_sadness_count,manual_joy_count,manual_yes_count,manual_no_count,unique_words,total_words,featured_count,producer_count,writer_count,manual_love_word_percent,manual_money_word_percent,manual_violence_word_percent,manual_drugs_word_percent,manual_gendered_word_percent,manual_sadness_word_percent,manual_joy_word_percent,manual_yes_word_percent,manual_no_word_percent
2Pac,4.85,2.75,3.7,0.4,85.05,0.75,1.75,2.0,18.1,285.0,755.5,1.05,1.2,5.2,0.642,0.364,0.49,0.053,11.257,0.099,0.232,0.265,2.396
A Tribe Called Quest,2.05,2.85,1.9,0.25,68.8,0.4,0.65,3.15,13.75,244.25,601.5,0.6,1.65,4.25,0.341,0.474,0.316,0.042,11.438,0.067,0.108,0.524,2.286
Eminem,4.55,1.0,4.35,0.25,80.8,1.2,2.2,0.9,19.45,340.75,864.45,0.45,2.2,4.7,0.526,0.116,0.503,0.029,9.347,0.139,0.254,0.104,2.25
Ice Cube,1.5,3.85,2.85,1.05,73.45,0.8,0.8,0.4,11.7,251.55,614.6,0.5,1.45,3.9,0.244,0.626,0.464,0.171,11.951,0.13,0.13,0.065,1.904
JAY-Z,4.0,2.25,1.95,0.4,53.3,0.5,2.25,1.1,13.35,253.75,597.85,0.55,1.7,5.5,0.669,0.376,0.326,0.067,8.915,0.084,0.376,0.184,2.233
Kanye West,3.85,4.0,1.3,0.35,67.75,0.9,0.3,1.1,15.6,229.45,615.2,1.1,5.4,12.6,0.626,0.65,0.211,0.057,11.013,0.146,0.049,0.179,2.536
Kendrick Lamar,5.3,4.0,6.75,0.65,79.95,0.9,1.6,1.35,16.3,312.15,861.8,0.4,2.55,5.6,0.615,0.464,0.783,0.075,9.277,0.104,0.186,0.157,1.891
MF DOOM,1.55,2.6,2.2,0.3,79.45,0.55,1.25,1.05,9.05,311.5,560.25,0.45,1.0,1.6,0.277,0.464,0.393,0.054,14.181,0.098,0.223,0.187,1.615
Nas,5.35,2.9,3.8,0.95,77.7,3.0,0.85,0.8,15.55,318.2,704.45,0.5,1.3,4.7,0.759,0.412,0.539,0.135,11.03,0.426,0.121,0.114,2.207
Yasiin Bey,5.6,4.2,1.8,0.05,84.35,0.55,1.15,1.7,15.65,305.25,709.05,0.35,1.35,2.45,0.79,0.592,0.254,0.007,11.896,0.078,0.162,0.24,2.207
