Artist,manual_love_count,manual_money_count,manual_violence_count,manual_drugs_count,manual_gendered_count,manual_sadness_count,manual_joy_count,manual_yes_count,manual_no_count,unique_words,total_words,featured_count,producer_count,writer_count
Al Green,10.6,0.05,0.05,0.0,22.6,0.3,1.05,0.75,4.9,90.45,246.6,0.0,1.2,1.8
Aretha Franklin,9.2,0.25,0.2,0.0,23.1,0.35,3.0,2.2,5.4,87.7,307.55,0.05,1.6,1.6
Clarence Carter,6.1,0.35,0.15,0.0,28.95,0.2,0.45,0.55,7.35,110.65,273.95,0.0,0.9,1.75
Curtis Mayfield,3.3,0.5,0.55,0.1,38.65,0.2,1.75,0.6,7.25,127.05,311.35,0.0,1.15,1.15
Marvin Gaye,14.45,0.35,0.05,0.0,29.15,0.2,0.95,0.65,6.95,111.1,320.3,0.0,1.15,2.05
Minnie Riperton,7.2,0.05,0.05,0.05,18.0,0.0,1.2,1.25,4.0,76.45,222.2,0.2,1.65,2.25
Nina Simone,3.45,0.15,0.25,0.0,20.8,0.25,0.45,0.55,5.8,84.5,220.0,0.0,1.0,1.7
Otis Redding,9.4,0.15,0.1,0.0,20.95,0.1,1.25,1.1,7.2,81.15,227.15,0.1,1.65,1.9
Sam Cooke,4.2,0.4,0.05,0.0,26.9,0.0,0.8,1.05,11.35,71.35,223.65,0.0,2.0,1.5
Stevie Wonder,13.3,0.35,0.2,0.0,33.3,0.65,3.6,1.9,8.85,117.05,365.05,0.1,1.25,1.4
